geneID,gene_symbol,GSM6290462,GSM6290463,GSM6290464,GSM6290466,GSM6290467,GSM6290468
ENSG00000059915,PSD,13,11,12,8,5,9
ENSG00000060069,CTDP1,1489,1519,1248,841,1212,1199
ENSG00000060138,YBX3,3571,3313,2837,4125,4446,3803
ENSG00000060140,STYK1,9,8,10,35,12,31
ENSG00000060237,WNK1,16510,10332,14276,19218,22932,18286
ENSG00000060303,RPS17P5,0,2,0,0,0,0
ENSG00000060339,CCAR1,8911,6215,7430,7836,8164,8899
ENSG00000060491,OGFR,3380,3209,2706,1160,1044,1291
ENSG00000060558,GNA15,1457,1345,1718,1760,1842,2042
ENSG00000060566,CREB3L3,3,0,1,13,0,0
ENSG00000060642,PIGV,507,394,511,1457,1868,1928
ENSG00000060656,PTPRU,304,280,159,44,85,86
ENSG00000060688,SNRNP40,3044,3495,2807,1372,1518,1750
ENSG00000060709,RIMBP2,0,0,0,0,0,0
ENSG00000060718,COL11A1,0,0,0,14,8,0
ENSG00000060749,QSER1,3373,3170,3424,3512,3058,2455
ENSG00000060762,MPC1,2030,1832,1699,3298,3703,2818
ENSG00000060971,ACAA1,2355,1933,1761,1130,1146,1189
ENSG00000060982,BCAT1,5317,2128,4304,9284,7382,8713
ENSG00000061273,HDAC7,1317,1115,1020,221,493,474
ENSG00000061337,LZTS1,575,460,432,15,14,52
ENSG00000061455,PRDM6,157,139,150,71,52,111
ENSG00000061492,WNT8A,2,1,2,0,0,0
ENSG00000061656,SPAG4,117,101,133,74,119,83
ENSG00000061676,NCKAP1,87,45,50,52,59,186
ENSG00000061794,MRPS35,2731,2808,2825,1364,1666,1646
ENSG00000061918,GUCY1B1,18,16,25,729,487,603
ENSG00000061936,SFSWAP,2411,2406,2248,2608,2713,3163
ENSG00000061938,TNK2,2605,1760,1423,997,929,1983
ENSG00000061987,MON2,3144,2029,2518,3051,3032,3564
ENSG00000062038,CDH3,34,9,28,27,53,45
ENSG00000062096,ARSF,6,3,1,0,1,5
ENSG00000062194,GPBP1,5731,4930,4957,12662,13109,14865
ENSG00000062282,DGAT2,1610,1927,1521,1422,1535,1785
ENSG00000062370,ZNF112,1,1,0,0,0,1
ENSG00000062485,CS,8891,9414,9215,6472,7028,13748
ENSG00000062524,LTK,944,456,498,137,143,223
ENSG00000062582,MRPS24,1828,1799,1475,2128,2369,2278
ENSG00000062598,ELMO2,1907,1858,1770,1074,1402,1555
ENSG00000062650,WAPL,4681,4855,4131,6711,8344,5864
ENSG00000062716,VMP1,3309,2289,2162,3136,3544,4135
ENSG00000062725,APPBP2,937,847,923,2191,2847,3216
ENSG00000062822,POLD1,7162,7298,6354,695,689,1073
ENSG00000063015,SEZ6,8,0,0,1,0,4
ENSG00000063046,EIF4B,20348,16486,19922,7040,8009,7507
ENSG00000063127,SLC6A16,31,25,20,2,44,16
ENSG00000063169,BICRA,467,524,380,530,799,871
ENSG00000063176,SPHK2,788,930,821,335,376,472
ENSG00000063177,RPL18,27010,21775,19635,9785,12320,10352
ENSG00000063180,CA11,251,108,102,118,78,56
ENSG00000063241,ISOC2,1583,2159,1678,652,846,971
ENSG00000063244,U2AF2,10973,11401,10672,6988,7377,7835
ENSG00000063245,EPN1,6981,6661,5845,1747,2053,2011
ENSG00000063322,MED29,2749,2300,2541,3032,3026,2907
ENSG00000063515,GSC2,3,3,11,2,0,0
ENSG00000063587,ZNF275,1344,1163,1137,534,515,559
ENSG00000063601,MTMR1,1158,1043,831,861,848,910
ENSG00000063660,GPC1,651,613,619,480,300,597
ENSG00000063761,ADCK1,451,404,302,215,267,298
ENSG00000063854,HAGH,1488,1025,1068,262,261,223
ENSG00000063978,RNF4,4260,3883,4115,2304,2537,2792
ENSG00000064012,CASP8,2228,1743,1603,1355,1506,1679
ENSG00000064042,LIMCH1,0,0,0,1,0,2
ENSG00000064102,INTS13,1482,2039,1349,1111,1491,1624
ENSG00000064115,TM7SF3,3535,3377,3968,873,1223,1019
ENSG00000064195,DLX3,125,146,85,1,7,2
ENSG00000064199,SPA17,478,478,512,232,219,168
ENSG00000064201,TSPAN32,1374,846,899,264,252,199
ENSG00000064205,CCN5,15,13,19,20,28,21
ENSG00000064218,DMRT3,58,59,55,9,6,8
ENSG00000064225,ST3GAL6,535,672,431,1572,2445,2245
ENSG00000064270,ATP2C2,5,3,1,1,0,0
ENSG00000064300,NGFR,17,9,2,100,77,42
ENSG00000064309,CDON,474,310,326,106,105,159
ENSG00000064313,TAF2,3326,2879,3008,5430,5991,6403
ENSG00000064393,HIPK2,1018,907,698,5925,6899,8535
ENSG00000064419,TNPO3,4469,4728,4599,3489,3781,4189
ENSG00000064490,RFXANK,4233,2881,2830,1216,1352,1059
ENSG00000064545,TMEM161A,1382,1565,1161,605,614,691
ENSG00000064547,LPAR2,3216,2442,1739,2169,2256,2473
ENSG00000064601,CTSA,4661,4650,4065,2929,2990,2987
ENSG00000064607,SUGP2,15010,12553,10860,5158,6626,9397
ENSG00000064651,SLC12A2,815,559,646,1163,1145,1096
ENSG00000064652,SNX24,497,387,491,93,133,68
ENSG00000064655,EYA2,5,7,6,0,0,0
ENSG00000064666,CNN2,14817,12735,11292,2593,3339,3502
ENSG00000064687,ABCA7,4237,3405,3147,519,580,636
ENSG00000064692,SNCAIP,24,13,14,74,61,49
ENSG00000064703,DDX20,1921,1901,1786,1985,2762,2692
ENSG00000064726,BTBD1,1814,1841,1663,3679,4230,3691
ENSG00000064763,FAR2,1242,1135,1281,105,236,198
ENSG00000064787,BCAS1,14,13,11,26,25,24
ENSG00000064835,POU1F1,0,0,0,0,0,0
ENSG00000064886,CHI3L2,39,15,4,1,5,11
ENSG00000064932,SBNO2,708,658,651,1151,951,1948
ENSG00000064933,PMS1,855,1010,854,151,124,219
ENSG00000064961,HMG20B,4060,4029,3635,1643,1890,1909
ENSG00000064989,CALCRL,66,27,56,272,172,877
ENSG00000064995,TAF11,2485,2567,2371,1934,2187,2698
ENSG00000064999,ANKS1A,2087,2198,1915,867,1008,1340
ENSG00000065000,AP3D1,9195,9432,7892,8707,8690,8593
ENSG00000065029,ZNF76,3722,2796,3234,1934,2082,2703
ENSG00000065054,SLC9A3R2,519,511,367,60,68,50
ENSG00000065057,NTHL1,682,706,681,16,20,16
ENSG00000065060,UHRF1BP1,4667,3563,4309,5185,5902,6969
ENSG00000065135,GNAI3,6006,5512,5485,4364,4896,5226
ENSG00000065150,IPO5,6625,6934,7805,3719,3319,4466
ENSG00000065154,OAT,2756,3100,2506,1600,2114,1678
ENSG00000065183,WDR3,2472,3401,3671,592,756,1099
ENSG00000065243,PKN2,2304,1872,1605,3265,4100,3495
ENSG00000065268,WDR18,1160,1585,1212,535,549,418
ENSG00000065308,TRAM2,2742,2778,2044,1942,2384,2261
ENSG00000065320,NTN1,789,86,113,1591,1731,4585
ENSG00000065325,GLP2R,0,0,0,0,0,0
ENSG00000065328,MCM10,1816,2595,2882,287,230,460
ENSG00000065357,DGKA,1099,828,555,197,283,179
ENSG00000065361,ERBB3,24,33,33,56,13,24
ENSG00000065371,ROPN1,0,0,0,0,0,0
ENSG00000065413,ANKRD44,395,330,366,76,105,235
ENSG00000065427,KARS1,7057,7642,6506,5465,6394,5589
ENSG00000065457,ADAT1,1420,917,1033,581,786,1122
ENSG00000065485,PDIA5,696,633,586,235,283,286
ENSG00000065491,TBC1D22B,1501,1325,1370,3968,4562,3678
ENSG00000065518,NDUFB4,2829,2731,2664,1712,1852,1857
ENSG00000065526,SPEN,8866,8217,5610,10582,13385,10421
ENSG00000065534,MYLK,135,102,166,95,55,195
ENSG00000065548,ZC3H15,3191,3386,3190,6553,6931,6272
ENSG00000065559,MAP2K4,532,565,564,1424,1762,1204
ENSG00000065600,PACC1,1464,1111,833,433,472,513
ENSG00000065609,SNAP91,128,39,68,48,76,36
ENSG00000065613,SLK,2532,2325,2564,8092,6641,7188
ENSG00000065615,CYB5R4,1501,1518,1493,1584,1718,1801
ENSG00000065618,COL17A1,0,1,2,0,0,0
ENSG00000065621,GSTO2,108,70,53,34,54,90
ENSG00000065665,SEC61A2,434,348,335,483,456,483
ENSG00000065675,PRKCQ,471,258,321,31,50,86
ENSG00000065717,TLE2,22,20,17,13,9,16
ENSG00000065802,ASB1,1562,1456,1184,2299,2374,2035
ENSG00000065809,FAM107B,12134,8793,9904,10161,12289,14899
ENSG00000065833,ME1,1848,1309,1335,4497,3421,7387
ENSG00000065882,TBC1D1,5826,4476,4589,3113,3293,3784
ENSG00000065883,CDK13,4021,3076,3070,2900,3542,3535
ENSG00000065911,MTHFD2,11604,3514,8334,4229,3630,7408
ENSG00000065923,SLC9A7,536,301,561,714,838,814
ENSG00000065970,FOXJ2,1158,611,619,1298,1895,1497
ENSG00000065978,YBX1,170571,165965,167863,130791,145470,140334
ENSG00000065989,PDE4A,1025,722,738,540,431,1560
ENSG00000066027,PPP2R5A,2065,1760,1738,1892,2027,1763
